id;mmsi;imo;vessel_name;callsign;vessel_type;vessel_type_code;vessel_type_cargo;vessel_class;length;width;flag_country;flag_code;destination;eta;draught;longitude;latitude;sog;cog;rot;heading;nav_status;nav_status_code;source;ts_pos_utc;ts_static_utc;ts_eta;ts_insert_utc;registry_name;registry_name_en;vessel_type_main;vessel_type_sub;message_type
773111011;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.0687066666667;76.77979;12;145.399993896484;0;141;Under Way Using Engine;0;T-AIS;15.08.2019 01:38:39;15.08.2019 01:31:51;16.08.2019 18:00:00;15.08.2019 01:38:43;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773136974;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.1679633333333;76.7482416666667;12;145.300003051758;0;142;Under Way Using Engine;0;T-AIS;15.08.2019 01:49:37;15.08.2019 01:43:49;16.08.2019 18:00:00;15.08.2019 01:49:41;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773153557;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.36105;77.7286;18;21.6000003814697;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 01:44:24;14.08.2019 21:16:05;22.08.2019 04:00:00;15.08.2019 01:44:35;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773177886;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.265;76.7166666666667;12;144;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 02:00:42;15.08.2019 01:55:48;16.08.2019 18:00:00;15.08.2019 02:00:59;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773196337;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.4441;77.7724833333333;18;22.1000003814697;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 01:53:54;14.08.2019 21:16:05;22.08.2019 04:00:00;15.08.2019 01:54:18;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773210624;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.346035;76.6902816666667;12;146.800003051758;0;144;Under Way Using Engine;0;T-AIS;15.08.2019 02:09:47;15.08.2019 01:55:48;16.08.2019 18:00:00;15.08.2019 02:09:51;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773214921;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.5726833333333;77.8405666666667;17;21.2999992370605;0;19;Under Way Using Engine;0;S-AIS;15.08.2019 02:08:41;14.08.2019 21:16:05;22.08.2019 04:00:00;15.08.2019 02:09:00;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773249317;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.5088133333333;76.6319416666667;12;145.600006103516;0;144;Under Way Using Engine;0;S-AIS;15.08.2019 02:29:09;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 02:29:29;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773251368;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.7503833333333;77.9314166666667;17;22.2000007629395;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 02:28:36;15.08.2019 02:09:58;22.08.2019 04:00:00;15.08.2019 02:28:56;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773290785;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;15.6016666666667;76.6016666666667;13;146;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 02:39:40;15.08.2019 02:19:49;16.08.2019 18:00:00;15.08.2019 02:40:07;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773305068;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;45.8024;77.9579;17;22.3999996185303;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 02:34:24;15.08.2019 02:09:58;22.08.2019 04:00:00;15.08.2019 02:34:48;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
